pair: close=2026-07-14  T=2026-07-15
quote_sources: IRS has_as_of=True (latest 2026-07-15), Credit has_as_of=False (latest 2026-07-14)
id                                    npv_prev             npv_T           theta             mtm          cash     resid_raw    resid_cash
00000/KRW/251110-281110/2.7    -247,814,061.89   -240,175,415.69      317,285.04    7,321,361.16          0.00        0.0000        0.0000
00001/KRW/251110-281110/2.7    -247,814,061.89   -240,175,415.69      317,285.04    7,321,361.16          0.00        0.0000        0.0000
00002/KRW/251128-261130/2.7     -48,861,543.48    -46,297,130.87      638,184.63    1,926,227.98          0.00        0.0000        0.0000
00000/KRW/251208-260608/2.7               0.00              0.00            0.00            0.00          0.00        0.0000        0.0000
00000/KRW/251211-260911/2.8     -13,226,569.90    -13,227,617.04       -1,047.14            0.00          0.00        0.0000        0.0000
00001/KRW/251212-261214/2.8     -44,482,768.64    -40,997,565.31      734,417.10    2,750,786.24          0.00        0.0000        0.0000
00001/KRW/251219-260619/2.7               0.00              0.00            0.00            0.00          0.00        0.0000        0.0000
00000/KRW/251219-271220/2.9    -327,899,195.32   -315,726,672.19    1,150,953.71   11,021,569.42          0.00        0.0000        0.0000
00000/KRW/260108-270108/2.7     -91,736,434.91    -86,332,516.93      900,529.22    4,503,388.75          0.00        0.0000        0.0000
00000/KRW/260109-310109/3.1  -1,512,953,595.47 -1,469,626,539.86    1,254,748.46   42,072,307.14          0.00        0.0000        0.0000
00000/KRW/260109-270709/2.7     324,490,048.96    313,301,451.49   -1,583,911.88   -9,604,685.59          0.00        0.0000        0.0000
00005/KRW/260113-270113/2.7      84,805,813.21     79,354,661.25     -552,117.59   -4,899,034.37          0.00        0.0000        0.0000
00006/KRW/260113-270113/2.7      76,325,231.89     71,419,195.13     -496,905.83   -4,409,130.93          0.00        0.0000        0.0000
00003/KRW/260114-270114/2.7      69,734,021.65     62,913,066.72     -387,554.02   -3,940,250.22  2,493,150.68-2,493,150.6849        0.0000
00000/KRW/260120-290122/3.2     161,569,414.92    153,527,451.96     -338,059.14   -7,703,903.82          0.00        0.0000        0.0000
00000/KRW/260129-360131/3.4    -567,214,301.10   -556,757,996.85      298,385.62   10,157,918.63          0.00        0.0000        0.0000
00000/KRW/260204-290205/3.2    -149,735,319.28   -141,622,171.45      341,901.28    7,771,246.55          0.00        0.0000        0.0000
00000/KRW/260205-270205/2.8      42,199,035.52     38,315,835.33     -558,307.45   -3,324,892.74          0.00        0.0000        0.0000
00002/KRW/260206-270210/2.8     -75,205,086.91    -68,573,027.07      956,991.09    5,675,068.74          0.00        0.0000        0.0000
00003/KRW/260206-270210/2.9     -41,766,586.82    -37,786,903.04      574,493.32    3,405,190.46          0.00        0.0000        0.0000
00003/KRW/260212-280214/3.0    -280,117,874.14   -265,882,713.81    1,003,792.79   13,231,367.54          0.00        0.0000        0.0000
00000/KRW/260219-280221/3.0     -98,240,695.67    -93,397,862.55      336,866.09    4,505,967.04          0.00        0.0000        0.0000
00000/KRW/260225-280225/3.1     -95,049,360.47    -90,148,568.73      338,817.76    4,561,973.98          0.00        0.0000        0.0000
00001/KRW/260225-280225/3.1    -380,197,441.86   -360,594,274.91    1,355,271.03   18,247,895.92          0.00        0.0000        0.0000
00001/KRW/260305-280306/3.1     263,618,462.92    248,475,992.40   -1,030,757.36  -14,111,713.17          0.00        0.0000        0.0000
00001/KRW/260306-280306/3.1     436,704,090.55    411,465,910.10   -1,718,346.31  -23,519,834.14          0.00        0.0000        0.0000
00000/KRW/260313-290313/3.4     377,016,800.42    352,146,373.13   -1,053,749.69  -23,816,677.61          0.00        0.0000        0.0000
00000/KRW/260318-310318/3.5     446,694,330.18    424,392,973.37     -667,082.82  -21,634,273.99          0.00        0.0000        0.0000
00000/KRW/260318-270318/3.0      13,952,110.96     12,394,703.45     -230,073.28   -1,327,334.22          0.00        0.0000        0.0000
00000/KRW/260323-270323/3.2       3,249,929.35    -12,666,662.22   -2,366,976.54  -13,549,615.03          0.00        0.0000        0.0000
00000/KRW/260323-280323/3.5    -182,173,855.05   -155,601,897.13    1,778,984.81   24,792,973.10          0.00        0.0000        0.0000
00000/KRW/230203-280203/3.0     157,811,427.68    150,929,741.14     -493,546.40   -6,388,140.14          0.00        0.0000        0.0000
00000/KRW/230413-280413/3.0    -235,563,241.24   -224,483,617.45      582,799.46   10,496,824.32          0.00        0.0000        0.0000
00001/KRW/230424-260424/3.2               0.00              0.00            0.00            0.00          0.00        0.0000        0.0000
00000/KRW/230502-260504/3.2               0.00              0.00            0.00            0.00          0.00        0.0000        0.0000
00000/KRW/230807-280807/3.6      25,220,881.84     18,031,846.05     -324,779.33   -6,864,256.45          0.00        0.0000        0.0000
00001/KRW/241226-261228/2.7     -70,152,167.37    -66,540,871.30      660,993.66    2,950,302.41          0.00        0.0000        0.0000
00000/KRW/250425-261026/2.3    -106,316,567.41   -105,709,701.64      312,595.14      294,270.64          0.00        0.0000        0.0000
00000/KRW/250708-280710/2.4     367,532,867.80    358,139,250.55     -503,182.98   -8,890,434.27          0.00        0.0000        0.0000
00001/KRW/250718-270719/2.3     119,332,818.57    117,071,099.99     -276,987.45   -1,984,731.13          0.00        0.0000        0.0000
00000/KRW/250728-270728/2.3     368,455,871.21    361,398,837.34     -848,651.93   -6,208,381.93          0.00        0.0000        0.0000
00000/KRW/250821-270823/2.3     398,309,528.17    390,439,678.22     -899,549.86   -6,970,300.09          0.00        0.0000        0.0000
00000/KRW/250826-260526/2.4               0.00              0.00            0.00            0.00          0.00        0.0000        0.0000
00000/KRW/250917-280918/2.3    -631,166,424.33   -616,525,292.21      603,620.43   14,037,511.70          0.00        0.0000        0.0000
00002/KRW/250923-270923/2.3    -280,662,156.17   -274,731,514.54      640,728.66    5,289,912.98          0.00        0.0000        0.0000
00000/KRW/250926-260928/2.4      52,661,651.21     52,665,820.39        4,169.19            0.00          0.00        0.0000        0.0000
00001/KRW/251015-270415/2.4    -368,851,540.16   -359,700,997.06    1,843,544.94    7,306,998.16          0.00        0.0000        0.0000
